subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1514655,21-35,female,strawberry,3,75-100%,-66,35,17,-10,32,0,1,0,0,1,0,0,0,0,0,1,0,0
1514655,21-35,female,strawberry,5,75-100%,-35,-75,-60,-35,16,0,0,1,1,1,1,0,0,1,0,0,0,0
1032536,21-35,female,strawberry,4,75-100%,-9,11,12,15,12,0,1,0,0,1,0,0,0,0,0,0,0,1
1032536,21-35,female,strawberry,1,75-100%,-10,38,34,36,35,0,1,0,0,1,0,0,0,1,0,0,0,0
1032536,21-35,female,strawberry,2,75-100%,-57,-10,-9,-11,15,0,0,1,0,0,1,1,0,0,0,0,0,0
1032536,21-35,female,strawberry,6,75-100%,11,39,37,53,10,1,1,0,0,1,0,0,0,0,0,0,0,1
1032536,21-35,female,strawberry,3,75-100%,73,14,14,-34,37,1,0,1,0,0,0,0,0,0,0,0,0,0
1032536,21-35,female,strawberry,5,75-100%,54,14,11,37,12,0,1,1,0,0,0,1,0,0,0,0,0,0
1033706,51-65,female,strawberry,4,75-100%,54,90,90,91,54,1,1,0,0,1,1,0,0,0,0,0,0,1
1033706,51-65,female,strawberry,1,75-100%,56,35,-33,-57,55,0,0,0,1,0,0,0,0,0,0,0,0,0
1033706,51-65,female,strawberry,2,75-100%,56,-11,-11,-10,35,0,0,0,0,0,0,0,1,0,0,0,0,0
1033706,51-65,female,strawberry,6,75-100%,35,-57,-56,-56,55,0,0,0,1,0,0,0,0,0,0,0,0,0
1033706,51-65,female,strawberry,3,75-100%,56,35,11,36,75,0,0,0,0,0,0,0,1,0,0,0,0,0
1033706,51-65,female,strawberry,5,75-100%,65,57,35,55,56,0,1,0,0,1,1,0,0,0,0,0,0,0
1032395,36-50,male,strawberry,4,50-74%,37,-31,-32,35,37,0,0,0,0,1,0,0,0,0,0,1,0,0
1032395,36-50,male,strawberry,1,50-74%,14,-11,-10,-29,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1032395,36-50,male,strawberry,2,50-74%,0,-11,-31,-32,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1032395,36-50,male,strawberry,6,50-74%,15,-11,-32,11,-1,1,0,1,0,0,0,0,0,0,0,0,0,0
1032395,36-50,male,strawberry,3,50-74%,57,42,35,34,35,0,0,0,0,0,0,0,0,0,1,0,0,0
1032395,36-50,male,strawberry,5,50-74%,54,54,39,54,74,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,4,75-100%,73,75,57,58,59,1,0,1,0,0,0,1,0,0,0,1,0,0
1033655,51-65,female,strawberry,1,75-100%,77,100,76,76,74,0,1,0,1,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,2,75-100%,37,36,12,56,38,1,0,1,1,0,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,6,75-100%,36,75,74,56,74,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,3,75-100%,73,72,74,73,76,0,1,0,0,1,0,0,0,0,0,0,0,0
1033655,51-65,female,strawberry,5,75-100%,73,76,74,99,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,4,50-74%,-8,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1501834,36-50,female,strawberry,1,50-74%,-1,-25,-39,-10,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,2,50-74%,-30,1,-31,0,-10,0,0,0,0,0,0,0,1,0,0,0,0,0
1501834,36-50,female,strawberry,6,50-74%,-53,-76,-54,-10,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,3,50-74%,-32,0,5,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0
1501834,36-50,female,strawberry,5,50-74%,0,25,13,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1034545,21-35,male,strawberry,4,50-74%,-32,-12,-32,-10,53,1,0,1,1,0,0,0,0,0,0,1,0,0
1034545,21-35,male,strawberry,1,50-74%,7,31,10,47,11,0,1,0,0,1,1,0,0,1,0,0,0,0
1034545,21-35,male,strawberry,2,50-74%,10,46,34,35,45,0,1,1,0,1,0,0,0,0,0,1,0,0
1034545,21-35,male,strawberry,6,50-74%,60,-13,-76,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1034545,21-35,male,strawberry,3,50-74%,-1,12,9,39,22,1,0,1,0,1,0,1,0,0,0,0,0,0
1034545,21-35,male,strawberry,5,50-74%,46,23,34,30,53,0,1,0,0,1,1,0,0,1,0,0,0,0
1034428,21-35,female,strawberry,4,50-74%,-37,-68,-90,17,27,1,0,1,0,0,0,0,0,1,0,0,0,0
1034428,21-35,female,strawberry,1,50-74%,-47,-26,-73,-81,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1034428,21-35,female,strawberry,2,50-74%,-83,-32,-44,-5,70,1,1,0,0,0,0,1,0,0,0,0,1,0
1034428,21-35,female,strawberry,6,50-74%,56,-29,-48,-9,1,1,0,1,0,1,0,1,0,1,0,1,1,1
1034428,21-35,female,strawberry,3,50-74%,18,61,55,28,69,0,1,0,0,1,0,0,0,0,0,1,0,0
1034428,21-35,female,strawberry,5,50-74%,43,-32,-26,-27,-6,0,1,1,0,0,1,0,0,0,0,0,1,0
1507318,21-35,female,strawberry,4,50-74%,35,-31,-9,4,-1,0,0,1,0,0,0,1,0,0,0,0,0,0
1507318,21-35,female,strawberry,1,50-74%,-8,13,0,-9,2,1,1,0,0,1,0,0,0,0,0,0,1,0
1507318,21-35,female,strawberry,2,50-74%,-77,14,12,-31,12,1,1,0,0,1,0,0,0,1,0,0,0,1
1507318,21-35,female,strawberry,6,50-74%,1,15,25,21,0,1,1,0,0,1,0,0,0,0,0,0,0,0
1507318,21-35,female,strawberry,3,50-74%,57,54,36,37,12,1,1,1,0,1,0,0,0,0,0,0,0,0
1507318,21-35,female,strawberry,5,50-74%,1,12,15,13,-1,0,1,1,0,1,0,1,0,0,0,0,0,0
1034514,36-50,male,strawberry,4,75-100%,-9,-10,-32,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1034514,36-50,male,strawberry,1,75-100%,-11,54,57,-32,37,0,0,0,0,1,0,0,0,0,0,1,0,0
1034514,36-50,male,strawberry,2,75-100%,0,-36,-55,14,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1034514,36-50,male,strawberry,6,75-100%,-30,2,-1,-32,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1034514,36-50,male,strawberry,3,75-100%,-54,-55,-98,-56,23,0,0,1,0,0,0,0,0,0,0,0,0,0
1034514,36-50,male,strawberry,5,75-100%,10,27,33,42,18,0,1,0,0,1,0,0,0,0,0,0,0,0
1031972,36-50,female,strawberry,2,75-100%,74,36,24,68,-2,0,0,1,0,0,0,1,0,0,0,0,0,0
1031972,36-50,female,strawberry,1,75-100%,56,99,99,84,99,1,1,0,0,1,0,0,0,1,0,0,1,1
1031972,36-50,female,strawberry,3,75-100%,66,46,12,74,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1031972,36-50,female,strawberry,5,75-100%,73,74,65,68,86,0,1,1,1,0,0,1,0,0,0,0,1,0
1031972,36-50,female,strawberry,4,75-100%,56,-9,-10,12,1,0,0,1,0,0,0,1,0,0,0,1,0,0
1031972,36-50,female,strawberry,6,75-100%,14,36,36,55,58,0,0,0,0,0,1,1,0,0,0,0,1,0
1032039,36-50,female,strawberry,2,75-100%,10,-19,-45,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0
1032039,36-50,female,strawberry,1,75-100%,-33,-29,13,-75,35,0,1,0,0,0,0,0,0,0,0,0,0,0
1032039,36-50,female,strawberry,3,75-100%,13,11,14,12,7,1,1,0,0,0,0,0,0,1,0,0,0,0
1032039,36-50,female,strawberry,5,75-100%,-8,-14,-8,-1,-1,0,0,1,0,1,1,0,0,0,0,0,0,0
1032039,36-50,female,strawberry,4,75-100%,11,1,-31,-2,12,0,0,1,0,0,1,0,0,0,0,0,0,0
1032039,36-50,female,strawberry,6,75-100%,13,50,57,25,35,1,1,0,0,1,0,0,0,0,0,0,1,0
1032145,51-65,female,strawberry,2,75-100%,35,37,36,36,13,0,1,0,0,1,0,0,0,0,0,0,0,0
1032145,51-65,female,strawberry,1,75-100%,35,36,35,36,12,0,1,0,0,1,0,0,0,0,0,0,0,0
1032145,51-65,female,strawberry,3,75-100%,35,56,66,55,56,0,1,0,0,1,0,0,0,0,0,0,0,0
1032145,51-65,female,strawberry,5,75-100%,58,70,74,70,55,0,1,0,0,1,0,0,0,0,0,0,0,0
1032145,51-65,female,strawberry,4,75-100%,13,38,36,12,12,0,1,0,0,1,0,0,0,0,0,0,0,0
1032145,51-65,female,strawberry,6,75-100%,34,36,36,36,12,0,1,0,0,1,0,0,0,0,0,0,0,0
1032287,21-35,female,strawberry,2,50-74%,-17,-17,-23,44,16,0,0,1,0,1,1,0,0,0,0,0,0,0
1032287,21-35,female,strawberry,1,50-74%,39,51,69,12,31,0,1,0,0,1,0,0,0,0,0,0,1,1
1032287,21-35,female,strawberry,3,50-74%,21,-28,-20,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1032287,21-35,female,strawberry,5,50-74%,24,55,74,68,50,0,1,0,0,1,0,0,0,0,0,0,1,0
1032287,21-35,female,strawberry,4,50-74%,0,-45,-50,-72,-15,0,0,0,1,0,1,0,0,0,0,0,0,0
1032287,21-35,female,strawberry,6,50-74%,-30,-27,-48,-31,-9,0,0,0,0,0,1,0,0,0,0,0,0,0
1032374,36-50,female,strawberry,2,75-100%,0,10,36,-56,74,0,1,0,0,1,0,0,0,0,0,0,0,1
1032374,36-50,female,strawberry,1,75-100%,35,75,71,-1,75,0,1,1,0,0,0,0,0,0,0,1,0,0
1032374,36-50,female,strawberry,3,75-100%,34,74,73,78,11,0,1,1,0,0,0,0,0,0,0,0,0,1
1032374,36-50,female,strawberry,5,75-100%,2,-2,-3,0,15,0,0,1,0,0,1,1,0,0,0,1,0,1
1032374,36-50,female,strawberry,4,75-100%,72,-10,-10,-57,1,0,0,1,0,0,1,1,0,0,0,0,0,1
1032374,36-50,female,strawberry,6,75-100%,-2,11,13,36,-1,0,1,1,0,0,0,0,0,1,0,0,0,1
1032381,36-50,female,strawberry,2,75-100%,-12,36,34,-10,37,0,1,0,1,1,0,1,0,0,0,0,0,0
1032381,36-50,female,strawberry,1,75-100%,-21,55,55,13,72,0,0,0,0,1,0,0,0,0,0,1,1,0
1032381,36-50,female,strawberry,3,75-100%,54,12,23,36,35,1,0,1,0,0,1,0,0,0,0,0,0,0
1032381,36-50,female,strawberry,5,75-100%,34,-75,-9,9,73,0,0,1,0,0,1,0,0,0,0,0,0,0
1032381,36-50,female,strawberry,4,75-100%,-11,35,75,36,75,0,1,0,0,1,0,0,0,1,0,1,1,1
1032381,36-50,female,strawberry,6,75-100%,-33,-76,-76,-32,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1032392,51-65,female,strawberry,2,75-100%,35,72,72,21,35,0,1,1,0,1,0,0,0,0,0,0,1,0
1032392,51-65,female,strawberry,1,75-100%,-33,1,-1,-8,1,0,0,1,0,1,0,1,0,0,0,0,0,0
1032392,51-65,female,strawberry,3,75-100%,11,-31,-31,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1032392,51-65,female,strawberry,5,75-100%,36,34,26,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1032392,51-65,female,strawberry,4,75-100%,38,13,10,-8,3,0,0,1,0,1,0,1,0,1,0,0,0,0
1032392,51-65,female,strawberry,6,75-100%,-30,-32,-56,-10,-33,0,0,0,0,0,1,0,0,0,0,0,0,0
1032455,36-50,female,strawberry,2,75-100%,44,65,67,-12,73,0,1,0,0,1,0,0,0,1,1,0,0,1
1032455,36-50,female,strawberry,1,75-100%,-41,-44,-9,-56,-3,0,0,0,1,1,0,1,0,0,0,0,1,1
1032455,36-50,female,strawberry,3,75-100%,92,-10,-8,12,-2,0,0,0,0,0,1,1,0,0,0,1,0,0
1032455,36-50,female,strawberry,5,75-100%,75,55,56,73,10,0,0,0,1,1,0,0,0,0,0,1,1,0
1032455,36-50,female,strawberry,4,75-100%,47,-8,0,13,53,0,0,0,1,0,0,0,0,1,1,0,0,0
1032455,36-50,female,strawberry,6,75-100%,8,1,-44,46,6,0,0,0,0,1,1,0,0,0,0,1,1,0
1032466,51-65,female,strawberry,2,75-100%,-10,38,35,-9,12,0,1,0,0,1,0,0,0,0,0,0,0,0
1032466,51-65,female,strawberry,1,75-100%,-32,-11,-32,-10,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1032466,51-65,female,strawberry,3,75-100%,-9,-56,-58,-57,12,0,0,1,1,0,0,0,0,0,0,0,0,0
1032466,51-65,female,strawberry,5,75-100%,37,75,74,57,12,0,1,0,0,1,0,0,0,0,0,0,0,0
1032466,51-65,female,strawberry,4,75-100%,35,38,13,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1032466,51-65,female,strawberry,6,75-100%,-57,-75,-76,-29,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1032475,36-50,female,strawberry,2,50-74%,64,-8,-7,51,75,0,1,1,0,1,1,1,0,0,0,0,0,0
1032475,36-50,female,strawberry,1,50-74%,35,70,61,63,56,1,1,0,0,1,0,0,0,0,0,0,0,0
1032475,36-50,female,strawberry,3,50-74%,42,71,63,66,54,0,1,1,0,1,1,1,0,0,0,0,1,0
1032475,36-50,female,strawberry,5,50-74%,53,72,74,74,52,0,1,1,0,1,1,0,0,0,0,0,0,0
1032475,36-50,female,strawberry,4,50-74%,57,62,76,76,57,0,1,0,1,1,1,1,0,0,0,0,0,0
1032475,36-50,female,strawberry,6,50-74%,54,37,24,34,58,0,1,0,0,1,1,1,0,0,0,0,0,0
1032533,36-50,female,strawberry,2,75-100%,89,73,57,-10,34,0,1,0,0,1,0,0,0,1,0,0,0,1
1032533,36-50,female,strawberry,1,75-100%,-74,-55,-54,-91,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1032533,36-50,female,strawberry,3,75-100%,84,13,13,-17,53,0,0,1,0,0,0,0,0,0,0,0,0,1
1032533,36-50,female,strawberry,5,75-100%,34,76,76,-10,73,1,1,0,0,1,0,0,0,0,0,0,0,0
1032533,36-50,female,strawberry,4,75-100%,36,12,36,-8,-30,0,1,0,0,1,0,0,0,0,0,1,0,0
1032533,36-50,female,strawberry,6,75-100%,13,0,13,-8,-33,0,0,0,0,0,1,0,0,0,0,1,0,0
1033268,21-35,female,strawberry,2,50-74%,10,57,64,10,53,0,1,0,0,1,0,0,0,0,0,0,0,0
1033268,21-35,female,strawberry,1,50-74%,13,26,15,11,12,0,1,1,0,0,0,1,0,0,0,0,0,0
1033268,21-35,female,strawberry,3,50-74%,57,25,26,46,27,0,1,0,0,1,0,0,0,0,0,0,0,0
1033268,21-35,female,strawberry,5,50-74%,61,56,36,11,55,0,1,0,0,0,0,0,0,0,0,0,0,0
1033268,21-35,female,strawberry,4,50-74%,37,29,34,27,36,0,1,0,0,1,0,0,0,0,0,0,0,0
1033268,21-35,female,strawberry,6,50-74%,11,11,-6,54,35,0,1,0,0,0,0,0,0,0,0,0,0,0
1032605,36-50,female,strawberry,2,75-100%,47,-7,-7,41,17,0,0,0,0,0,0,1,0,0,0,0,0,0
1032605,36-50,female,strawberry,1,75-100%,42,-27,-28,19,61,0,0,0,0,0,0,0,1,0,0,0,0,0
1032605,36-50,female,strawberry,3,75-100%,40,43,42,-6,57,0,1,0,0,0,0,0,0,0,0,0,0,1
1032605,36-50,female,strawberry,5,75-100%,65,41,42,42,60,0,0,1,1,0,0,0,0,0,0,0,0,0
1032605,36-50,female,strawberry,4,75-100%,64,77,59,42,42,0,1,0,0,1,0,0,0,0,0,0,0,0
1032605,36-50,female,strawberry,6,75-100%,-22,-4,-29,17,16,0,0,1,0,0,0,0,0,0,0,0,0,0
1032644,36-50,female,strawberry,2,75-100%,-1,100,100,99,99,1,1,0,0,1,1,0,0,0,0,0,0,0
1032644,36-50,female,strawberry,1,75-100%,99,98,84,98,57,1,1,0,0,1,1,0,0,1,0,0,0,1
1032644,36-50,female,strawberry,3,75-100%,37,57,38,36,35,0,1,0,0,1,0,0,0,1,0,0,0,0
1032644,36-50,female,strawberry,5,75-100%,-3,-13,-11,-2,56,0,0,0,1,0,0,0,0,0,0,0,0,0
1032644,36-50,female,strawberry,4,75-100%,56,-98,-99,-98,-10,0,0,1,1,0,0,1,0,0,0,0,0,0
1032644,36-50,female,strawberry,6,75-100%,-75,-98,-99,-99,-32,0,0,1,1,0,0,1,0,0,0,0,0,0
1032654,51-65,female,strawberry,2,75-100%,45,57,44,37,57,0,1,0,0,0,0,1,0,0,0,0,0,0
1032654,51-65,female,strawberry,1,75-100%,35,56,55,55,55,0,1,0,0,0,0,0,0,0,0,0,0,0
1032654,51-65,female,strawberry,3,75-100%,56,46,47,57,48,0,1,0,0,0,0,0,0,0,0,0,0,0
1032654,51-65,female,strawberry,5,75-100%,33,46,56,54,54,0,1,0,0,0,0,0,0,0,0,0,0,0
1032654,51-65,female,strawberry,4,75-100%,-9,-12,-32,13,39,0,0,1,0,0,0,1,0,0,0,0,0,0
1032654,51-65,female,strawberry,6,75-100%,37,50,57,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1032702,36-50,female,strawberry,2,50-74%,28,53,46,72,-2,1,1,1,0,1,0,0,0,0,1,1,0,0
1032702,36-50,female,strawberry,1,50-74%,52,65,71,92,-3,1,1,1,0,1,0,1,0,0,1,0,1,0
1032702,36-50,female,strawberry,3,50-74%,50,51,43,-34,73,1,1,1,1,1,1,0,0,0,0,0,0,1
1032702,36-50,female,strawberry,5,50-74%,23,49,51,87,5,0,1,1,0,1,1,1,0,0,0,0,0,0
1032702,36-50,female,strawberry,4,50-74%,41,12,6,-46,11,1,1,1,1,0,0,0,0,0,0,0,0,1
1032702,36-50,female,strawberry,6,50-74%,7,24,10,13,12,1,0,1,1,1,0,0,0,0,0,0,0,0
1032721,36-50,female,strawberry,2,75-100%,-33,58,56,38,53,0,1,0,0,0,0,0,0,0,0,0,0,1
1032721,36-50,female,strawberry,1,75-100%,34,38,38,38,74,0,1,0,0,0,0,0,0,1,0,0,0,1
1032721,36-50,female,strawberry,3,75-100%,56,38,10,15,-58,0,1,1,1,0,0,1,0,0,0,0,0,0
1032721,36-50,female,strawberry,5,75-100%,74,9,-8,36,10,0,0,1,1,0,0,1,0,0,0,0,0,0
1032721,36-50,female,strawberry,4,75-100%,30,33,34,63,80,0,1,1,0,0,0,1,0,0,0,0,0,1
1032721,36-50,female,strawberry,6,75-100%,-9,13,-12,10,-78,0,0,1,0,0,0,1,0,0,0,0,0,0
1032823,51-65,female,strawberry,2,75-100%,41,21,16,15,15,0,0,0,0,0,0,1,0,0,0,0,0,0
1032823,51-65,female,strawberry,1,75-100%,-3,37,44,45,28,0,1,0,0,1,0,0,0,0,0,0,0,0
1032823,51-65,female,strawberry,3,75-100%,3,17,11,13,14,0,0,1,0,0,0,0,0,0,0,0,0,0
1032823,51-65,female,strawberry,5,75-100%,4,-11,-25,-15,4,0,0,1,0,0,0,0,0,0,0,0,0,0
1032823,51-65,female,strawberry,4,75-100%,52,-21,-25,-32,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
1032823,51-65,female,strawberry,6,75-100%,-5,-5,-36,-28,7,0,0,1,0,0,0,0,0,0,0,0,0,0
1514628,36-50,male,strawberry,2,75-100%,-10,25,19,24,22,0,0,1,0,0,0,0,0,0,0,0,0,0
1514628,36-50,male,strawberry,1,75-100%,74,57,56,56,24,0,1,0,0,0,0,0,0,0,0,0,0,0
1514628,36-50,male,strawberry,3,75-100%,-7,-1,-4,8,-1,0,0,0,0,0,0,0,1,0,0,0,0,0
1514628,36-50,male,strawberry,5,75-100%,0,56,47,74,12,0,1,0,0,0,0,0,0,0,0,0,0,0
1514628,36-50,male,strawberry,4,75-100%,-17,-67,-76,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1514628,36-50,male,strawberry,6,75-100%,-15,-10,-8,23,-3,0,0,0,0,0,0,0,1,0,0,0,0,0
1032887,36-50,male,strawberry,1,75-100%,-75,12,12,11,13,0,0,0,0,0,0,0,0,0,0,1,0,0
1032887,36-50,male,strawberry,2,75-100%,12,-30,-55,13,-75,0,0,0,0,0,0,0,0,0,0,1,0,0
